Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,text
39,B001EO5QW8,A2GHZ2UTV2B0CD,JERRY REITH,0,0,4,1350777600,GOOD WAY TO START THE DAY....,visit friend nate morn coffe  came storag room  packet mccann instant irish oatmeal  suggest tri use stash  sometim nate dose give chanc say  end tri appl cinn  found tasteful made water powder milk  goe good oj coffe slice toast readi take worldor day least jerri reith
140,B002SRYRE8,A20PK3OCKRRSA5,Mrs. J. Todd,0,0,5,1268265600,Excellent Product/Life Saver,son acid reflux sinc birth everi medic avail improv older gentleman came work place told product automat order realli expect better result 1000 thing tri surpris heartburn symptom sinc day 2 start eat one piec ginger morn eat anyth actual enjoy product god send thank
209,B0028C44Z0,A3BJ9NS09YGQT5,"Atl Chris ""Atl Chris""",0,3,1,1314489600,These just don't do it for me as breath mints,noth like regular altoid breath mint pleasanttast littl candi cute conveni tin that far goe minti strong wintergreen definit weaker peppermint mini im dragonbreath person still one mint small effect breath four five freshen breath short  mayb 15 minut point think icebreak frost mint best sugar free breath mint
220,B001EO5ZMO,A3KQ1480MHXXCW,M'ville,3,3,5,1272412800,Nice tea,love strong full bodi qualiti tea typic drink assam irish breakfast earli grey tea review note price per pound discourag search qualiti full bodi tea wasnt bitter palat price point certain fit bill unlik tea tend better one form anoth ie ice vs hot tea excel form would certain recommend anyon prefer smooth full bodi qualiti tea doesnt cost arm leg
221,B001EO5ZMO,A8D27L5Q5BLRC,K. Kwan,0,0,5,1350864000,A fragrant tea,drink tea plain without sugar milk pleasant aromabr br price amazon cheaper local groceri store one review right think herbal smell make aroma label imperi blend kind impli herbbr br exact black tea drinker tea surpris afford usual prefer white chines tea like white peoni expens requir lower temperatur water black tea aroma kind remind soft white tea
241,B001EO5ZMY,AF72GTWZGAC61,Pinkhat,3,3,5,1330732800,Excellent loose tea.,like ceylon tea varieti certain enjoy appreci teabr br happi find ahmad tea avail thank amazon surpris negat review 2009 20 year drink ahmad tea even disappoint superb qualiti ahmad tea remain consist throughout yearsbr br current deal pack 4 good cheaper find locallybr br high recommendedbr br note list descript confus packet tea weigh 500 gram equal 11 pound 176 ounc
265,B000LKZK7C,A1T14KXM4GH14A,Karen Keauhou Chun,6,8,5,1339804800,Good product but terrible agricultural practices,sugar rawtm pleas harvest cane wo burningbr deliv hcsbr dear sugar raw folksbr br buy product care environ wed like know care burn cane field maui add co2 worsen climat chang smoke burn damag lung worker worker children resid mauibr br love product want chang noburn harvest continu buy know arent contribut global warm lung diseasebr br 
292,B001UJEN6C,A37AO20OXS51QA,"Roderic Rinehart ""Roderic""",3,3,5,1311292800,"The best energy shot out there, smooth and organic!",want organ energi shot choic one steaz assort flavor guayaki guayaki yerba mate actual steaz energi shot energi drink use sambazon acai similar ingredientsbr br great energi burst 4 hour steaz energi shot withdraw headach afterward plan drink one everi day lunch work help cut ice coffe help calori intakebr br alreadi order 12pack subscrib save 2 per month great valu
316,B001EPQ0J0,A2L3IECPFB956F,D. Alger,0,0,5,1268265600,Excellent coffee,brand coffe avail local store time  ive believ compani local ive drink quit time tire im particular fond turtl sunda flavor good cant say ive bad onebr br turn less expens order amazon show front door run local walmart get brainer tri like rich flavor coffe youll like
341,B000HKYP9A,AD5WAUA14YD6N,M. Knapp,0,0,4,1281657600,"great for eating whole foods, clean with veggie brush",slight differ version  differ brand son start use around six month realli enjoy get messi eat someth sticki juici like banana watermelon whatev anyway also troubl clean tri scrub nail veget brush work pretti well take time much would take run food food mill blender cut clean chair floor dog well get pictur
345,B000HKYP9A,AMNCDXFZKL6MZ,C. Lamberts,0,0,3,1173484800,Wonderful idea-difficult to clean.,love love love idea product littl one love love love use get fresh fruit tasti thing dont worri choke drawback bit food get stuck mesh seam imposs get grant food difficult other dont caus much problem banana howev pretti much destroy coupl love product think next time get one remov replac mesh bag
386,B001ESOQAM,A37RRNHOYQ7JPH,Judy,0,0,5,1323993600,Good for the money,cashew nice big vast major whole number small piec bottom bag that pretti expect mani cashew made absolut excel cashew brittlebr br order took week arriv pretti decent consid ship across countri came doubl bag clear plastic bag two 5 lb portion high conveni sinc could throw one bag freezer readi work itbr br great valu price
461,B000G6RYNE,A2ZEFDVX4X5TPX,"Thomas A. Roberts ""tomrgalvtx""",0,0,4,1249430400,Not quite the best...,past coupl year eaten review sever kind style chip best ive ever big disappoint eaten lantchip varieti way best group kettl chip right salt irrit pringl product kettl good flavor small size overwhelm oili take away flavor good choiceamazon stock lantchip time day choic
495,B000G6RYNE,A2C5BWOM7329UD,Jason T. Stevens,0,0,5,1203465600,Addictive,best potato chip ive ever tast easi go half bag without stop texturecrunchi perfect salt vinegar combin dont know tast much better chip ive ever judg nutrit fact seem healthier theyr somewhat fibrous good bit potassium vitamin c could dont skin potato chip bit thicker normalbr br like kettl chip great
521,B000G6RYNE,A3TK2IOP8UQ087,"Alabaster Jones ""perpenhopher""",0,1,5,1255219200,"Lightly Salted, Heavily Delicious!",best potato chip money buy enough salt tast much mask linger potatoey awesom youv wolf bag beauti chip perfect thick  teeth get excit everi time put one mouth everyth chip perfect like made god deliv gabriel know amazon carri dont even leav hous buy may never eat anyth els
530,B000G6RYNE,AY1EF0GOH80EK,Natasha Stryker,3,3,5,1327708800,Do not miss the salt!,someon brought parti last month didnt put buffet full didnt think anyon would like saltless potato chip last week friend pantri put oh gosh good wrong think would bland full real potato flavor wonder crisp fresh tast amazon buy case want dip truli delici
562,B000G6RYNE,A3UFRBCC1CSCSJ,mel,7,9,1,1298764800,The bags were damaged with holes and stains.,chip greatfor first bag howev first bag two notic remain bag damag hole bag black sticki stain outsid review bought around time claim found rodent hole bag chipsbr br chip came seal kettl box hard say screw someon somewher screw chip health hazard hole bag like game roulett
567,B000G6RYNE,A3ARZW7S96SESC,Lillie Walker,2,2,1,1333670400,HORRIBLE I CANT BELIEVE THIS!,terribl cannot believ receiv item everi singl bag open 4 im station afghanistan gonna snack team go mission embarrass bag open spilt box gross box fill greas stain idk airplan ride way box insul bubbl wrap use instead paper im unhappi stale crusti chip bag us soldier cannot enjoy
595,B000G6RYNE,A5U1K1NRQEZW9,"L. Wang ""L. Wang""",1,1,3,1288310400,Good deal but close expiration date!,love sea salt  vinegar flavor kettl saw one daili deal 1799case put order without doubt howev receiv case found whole case expir decemb got end august tri one packag definit tast unfresh chip disappoint found item return conveni although love chip wont order concern close expir date
640,B001EPPFGO,A1RZ4VH27NLDGS,"Jeremy Morgan ""A good book on your shelf is a...",0,0,5,1334534400,What a great tea at this price,delici teabr br im becom tea geek realli explor stuff like earl grey amongst top especi bergamotbr br problem find amount bergamot ad usual littl muchbr br one perfect realli like balanc flavor dont add anyth tea part teaspoon cup 23 minut readybr br tast like expens tea price like lipton definit recommend fan earl grey kick
644,B001EPPFGO,AZ2NEHE8TNRUW,prb in California,0,0,5,1295568000,favorite Earl Grey tea,lifetim tea drink honest say best earl grey ever tast order number time batch consist excel even given gift contain superb keep loos tea fresh metal canist inner lid lift attach knob tea stay dri fresh length time take use favor like earl grey treat tea
647,B002HQH04O,A2ZP7F2XXKGUCR,S. Block,0,0,5,1309132800,A HUGE Success,male maltes dog enjoy old roy puppi biscuit walmart couldnt find desper find treat would measur order six bag peanut butter cross fingersbr br arriv littl guy love get one heartshap biscuit bedtim sleep crate hear touch bag treat beat path crate high excit big hit well worth price high qualiti even smell peanut
660,B002BCD2OG,A2V82V20LFSWD7,J A,0,0,4,1347321600,"Good, but container could be better",use buy wholesom sweetner agav like littl better switch becam expens cheeper option tast seem littl less sweet find use get right sweet coffe dont like contain doesnt pour well pour better squeez bottl dont sticki mess counter everi day fine price continu ship everi month
